rank,iso6393,iso6391,languageLabel,defaultScript,defaultScriptName,orthographyId,orthographyScriptCode,orthographyScriptName,orthographyPriority,orthographySource,reviewStatus,verificationStatus
262,ckt,,Chukchi,Cyrl,Cyrillic,ckt-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
263,lbe,,Lak,Cyrl,Cyrillic,lbe-cyrl,Cyrl,Cyrillic,primary,omniglot-langalph+wws,needs-review,needs-review
264,mzn,,Mazanderani,Arab,Arabic,mzn-arab,Arab,Arabic,primary,cldr-default+wikidata,needs-review,needs-review
265,gil,,Gilbertese,Latn,Latin,gil-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
266,bug,,Bugis,Latn,Latin,bug-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
266,bug,,Bugis,Latn,Latin,bug-bugi,Bugi,Buginese,secondary,wikidata-writing-system,needs-review,verified-by-wikidata
267,izh,,Ingrian,Latn,Latin,izh-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
268,kon,kg,Kongo,Latn,Latin,kon-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
269,ell,el,Modern Greek,Grek,Greek,ell-grek,Grek,Greek,primary,cldr-default+wikidata,needs-review,needs-review
270,chg,,Chagatai,Arab,Arabic,chg-arab,Arab,Arabic,primary,omniglot-langalph+wws,needs-review,needs-review
270,chg,,Chagatai,Arab,Arabic,chg-latn,Latn,Latin,secondary,wikidata-writing-system,needs-review,needs-review
271,pdc,,Pennsylvania German,Latn,Latin,pdc-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
272,aka,ak,Akan,Latn,Latin,aka-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
273,kum,,Kumyk,Cyrl,Cyrillic,kum-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
273,kum,,Kumyk,Cyrl,Cyrillic,kum-arab,Arab,Arabic,secondary,wikidata-writing-system,needs-review,needs-review
273,kum,,Kumyk,Cyrl,Cyrillic,kum-latn,Latn,Latin,secondary,wikidata-writing-system,needs-review,needs-review
274,hmo,ho,Hiri Motu,Latn,Latin,hmo-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
275,ale,,Aleut,Latn,Latin,ale-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
275,ale,,Aleut,Latn,Latin,ale-cyrl,Cyrl,Cyrillic,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
276,awa,,Awadhi,Deva,Devanagari,awa-deva,Deva,Devanagari,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
277,dlm,,Dalmatian,Latn,Latin,dlm-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
278,her,hz,Herero,Latn,Latin,her-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
279,enm,,Middle English,Latn,Latin,enm-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
280,prg,,Old Prussian,Latn,Latin,prg-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
281,yrk,,Nenets,Cyrl,Cyrillic,yrk-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
