rank,iso6393,iso6391,glottocode,qid,languageLabel,sitelinks,defaultScript,defaultScriptName,orthographyId,orthographyLabelEn,orthographyScriptCode,orthographyScriptName,orthographyPriority,orthographySource,reviewStatus,seedKind,verificationStatus,languageWikipediaUrl,scriptWikipediaUrl,evidenceSources
40,isl,is,icel1247,Q294,Icelandic,184,Latn,Latin,isl-latn,Icelandic (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
41,lit,lt,lith1251,Q9083,Lithuanian,184,Latn,Latin,lit-latn,Lithuanian (Latin),Latn,Latin,primary,cldr-default,needs-review,script-derived,needs-review,,,
41,lit,lt,lith1251,Q9083,Lithuanian,184,Latn,Latin,lit-cyrl,Lithuanian (Cyrillic),Cyrl,Cyrillic,secondary,omniglot-langalph+wws,needs-review,script-derived,pending-manual-review,,https://en.wikipedia.org/wiki/Cyrillic_script,omniglot-langalph|worldswritingsystems
42,ile,ie,inte1260,Q35850,Interlingue,183,Latn,Latin,ile-latn,Interlingue (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
43,hye,hy,arme1241,Q8785,Armenian,182,Armn,Armenian,hye-armn,Armenian (Armenian),Armn,Armenian,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Armenian_alphabet,omniglot-langalph|worldswritingsystems|wikidata-p282
44,slk,sk,slov1269,Q9058,Slovak,181,Latn,Latin,slk-latn,Slovak (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
45,tam,ta,tami1289,Q5885,Tamil,179,Taml,Tamil,tam-taml,Tamil (Tamil),Taml,Tamil,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Tamil_script,omniglot-langalph|worldswritingsystems|wikidata-p282
45,tam,ta,tami1289,Q5885,Tamil,179,Taml,Tamil,tam-arab,Tamil (Arabic),Arab,Arabic,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
46,sqi,sq,alba1267,Q8748,Albanian,179,Latn,Latin,sqi-latn,Albanian (Latin),Latn,Latin,primary,cldr-default,needs-review,script-derived,needs-review,,,
46,sqi,sq,alba1267,Q8748,Albanian,179,Latn,Latin,sqi-grek,Albanian (Greek),Grek,Greek,secondary,omniglot-langalph+wws,needs-review,script-derived,pending-manual-review,,https://en.wikipedia.org/wiki/Greek_alphabet,omniglot-langalph|worldswritingsystems
47,eus,eu,basq1248,Q8752,Basque,178,Latn,Latin,eus-latn,Basque (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
48,kat,ka,nucl1302,Q8108,Georgian,176,Geor,Georgian,kat-geor,Georgian (Georgian),Geor,Georgian,primary,omniglot-langalph+wws,needs-review,script-derived,needs-review,,https://en.wikipedia.org/wiki/Georgian_scripts,omniglot-langalph|worldswritingsystems
49,srp,sr,serb1264,Q9299,Serbian,174,Cyrl,Cyrillic,srp-cyrl,Serbian (Cyrillic),Cyrl,Cyrillic,primary,omniglot-langalph+wws,needs-review,script-derived,needs-review,,https://en.wikipedia.org/wiki/Cyrillic_script,omniglot-langalph|worldswritingsystems
50,lav,lv,latv1249,Q9078,Latvian,172,Latn,Latin,lav-latn,Latvian (Latin),Latn,Latin,primary,cldr-default,needs-review,script-derived,needs-review,,,
51,tha,th,thai1261,Q9217,Thai,171,Thai,Thai,tha-thai,Thai (Thai),Thai,Thai,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Thai_alphabet,omniglot-langalph|worldswritingsystems|wikidata-p282
52,slv,sl,slov1268,Q9063,Slovene,169,Latn,Latin,slv-latn,Slovene (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
53,vie,vi,viet1252,Q9199,Vietnamese,167,Latn,Latin,vie-latn,Vietnamese (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
53,vie,vi,viet1252,Q9199,Vietnamese,167,Latn,Latin,vie-hani,Vietnamese (Chinese characters),Hani,Chinese characters,secondary,omniglot-langalph+wws,needs-review,script-derived,pending-manual-review,,https://en.wikipedia.org/wiki/Chinese_characters,omniglot-langalph|worldswritingsystems
54,oci,oc,occi1239,Q14185,Occitan,166,Latn,Latin,oci-latn,Occitan (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
